"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Departamento","San Telmo",1,1,34,86705
"Departamento","San Telmo",1,1,35,95904
"Departamento","San Telmo",1,1,38,91602
"Departamento","San Telmo",1,1,35,97192
"Departamento","San Telmo",1,1,35,100321
"Departamento","San Telmo",1,1,35,85629
"Departamento","San Telmo",1,1,35,83916
"Departamento","San Telmo",1,1,35,104106
"Departamento","San Telmo",1,1,34,81703
"Departamento","San Telmo",1,1,38,95809
"Departamento","San Telmo",1,1,35,96535
"Departamento","San Telmo",1,1,35,94642
"Departamento","San Telmo",1,1,35,94474
"Departamento","Colegiales",1,1,42,155000
"Departamento","Colegiales",1,1,48,141000
"Departamento","Colegiales",1,1,48,141000
"Departamento","Barrio Norte",1,1,82,350000
"Departamento","Las Cañitas",1,1,48,159000
"Departamento","San Nicolás",1,1,30,110000
"Departamento","Villa Crespo",1,1,36,103300
"Departamento","Villa Crespo",1,1,45,116000
"Departamento","Villa Crespo",1,1,28,85000
"Departamento","Villa Urquiza",1,1,31,89900
"Departamento","Parque Chacabuco",1,1,36,95000
"Departamento","Villa del Parque",1,1,50,120000
"Departamento","Parque Avellaneda",1,1,38,78000
"Departamento","Villa Pueyrredón",1,1,41,135300
"PH","Boca",2,1,65,115000
"PH","Nuñez",2,1,64,189000
"PH","Palermo",2,1,54,133000
"PH","Palermo",2,1,80,240000
"PH","Monte Castro",2,1,53,118000
"PH","Monte Castro",2,1,53,118000
"PH","Villa Devoto",2,1,65,130000
"Casa","Villa Urquiza",2,1,82,280000
"Casa","Villa Urquiza",2,2,129,284000
"Departamento","Boedo",2,1,52,170000
"Departamento","Flores",2,1,48,89000
"Departamento","Flores",2,1,56,130000
"Departamento","Flores",2,1,53,97000
"Departamento","Flores",2,2,55,180000
"Departamento","Flores",2,2,55,170052
"Departamento","Flores",2,2,55,162400
"Departamento","Nuñez",2,1,38,128000
"Departamento","Almagro",2,1,36,105000
"Departamento","Almagro",2,1,52,123000
"Departamento","Almagro",2,1,45,109000
"Departamento","Almagro",2,1,47,129000
"Departamento","Almagro",2,1,42,98000
"Departamento","Palermo",2,1,45,180000
"Departamento","Palermo",2,1,36,95000
"Departamento","Palermo",2,1,60,189000
"Departamento","Palermo",2,2,59,195000
"Departamento","Palermo",2,1,34,109000
"Departamento","Barracas",2,1,48,130000
"Departamento","Barracas",2,1,59,160000
"Departamento","Barracas",2,1,51,140000
"Departamento","Barracas",2,1,59,160000
"Departamento","Belgrano",2,1,63,314200
"Departamento","Belgrano",2,2,63,410000
"Departamento","Belgrano",2,1,120,220000
"Departamento","Belgrano",2,1,50,144500
"Departamento","Belgrano",2,1,89,275000
"Departamento","Belgrano",2,1,34,109000
"Departamento","Belgrano",2,2,62,177000
"Departamento","Congreso",2,1,97,165000
"Departamento","Floresta",2,1,60,99000
"Departamento","Recoleta",2,1,81,305000
"Departamento","Recoleta",2,2,59,302797
"Departamento","Recoleta",2,1,74,276404
"Departamento","Recoleta",2,1,66,288569
"Departamento","Recoleta",2,2,59,277564
"Departamento","Recoleta",2,1,34,97500
"Departamento","Recoleta",2,1,68,244290
"Departamento","Recoleta",2,2,46,185000
"Departamento","Recoleta",2,1,45,180000
"Departamento","Recoleta",2,1,47,162505
"Departamento","Recoleta",2,1,76,248081
"Departamento","Saavedra",2,1,43,105000
"Departamento","Saavedra",2,1,43,100000
"Departamento","Saavedra",2,1,43,105000
"Departamento","Balvanera",2,1,56,203000
"Departamento","Balvanera",2,1,39,97000
"Departamento","Balvanera",2,1,56,168000
"Departamento","Balvanera",2,1,42,77000
"Departamento","Caballito",2,1,37,115000
"Departamento","Caballito",2,1,93,139000
"Departamento","Caballito",2,1,53,125000
"Departamento","Caballito",2,1,30,88500
"Departamento","Caballito",2,1,30,88500
"Departamento","Mataderos",2,1,64,110000
"Departamento","San Telmo",2,1,47,115000
"Departamento","Colegiales",2,1,79,212500
"Departamento","Colegiales",2,1,79,212500
"Departamento","Colegiales",2,1,61,177000
"Departamento","Barrio Norte",2,1,38,110000
"Departamento","Barrio Norte",2,1,46,159500
"Departamento","Barrio Norte",2,1,52,159500
"Departamento","San Nicolás",2,1,60,155000
"Departamento","San Nicolás",2,1,60,155000
"Departamento","Villa Crespo",2,1,36,79900
"Departamento","Villa Crespo",2,1,47,125000
"Departamento","Villa Crespo",2,2,50,155000
"Departamento","Villa Crespo",2,2,50,155000
